method,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_action_equivalence_f1,ci95_action_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_frame_violation,ci95_contact_frame_violation,mean_affordance_violation,ci95_affordance_violation,mean_temporal_order_violation,ci95_temporal_order_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_observation_equivalence_score,ci95_observation_equivalence_score,mean_action_equivalence_score,ci95_action_equivalence_score,mean_physical_validity_margin,ci95_physical_validity_margin,mean_over_invariance_rate,ci95_over_invariance_rate,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
domain_randomization,1,0.591964,0.017087,0.497619,0.016492,0.398214,0.016973,0.451488,0.016877,0.180357,0.014517,0.100893,0.010667,0.073512,0.009269,0.046131,0.007341,0.093155,0.009909,0.108929,0.010935,0.1625,0.013232,0.567262,0.016125,0.348512,0.015605,0.326488,0.016286,0.20744,0.015084,0.28869,0.018257,0.595244,0.017854,560
domain_randomization,2,0.583036,0.0168,0.514286,0.017689,0.392857,0.016766,0.434226,0.016879,0.186607,0.014712,0.079167,0.009694,0.069048,0.008814,0.049702,0.007595,0.102083,0.010937,0.114881,0.011618,0.162798,0.012774,0.574405,0.016539,0.333036,0.015214,0.316667,0.015779,0.200893,0.015897,0.282738,0.018522,0.585746,0.017656,560
domain_randomization,3,0.61369,0.017056,0.503571,0.016655,0.404762,0.016994,0.422024,0.017076,0.18006,0.014832,0.088393,0.009899,0.072619,0.008495,0.05,0.007604,0.091369,0.009354,0.115774,0.011333,0.175893,0.012702,0.57619,0.017211,0.341667,0.016375,0.325298,0.016696,0.195238,0.015153,0.258631,0.018357,0.616775,0.017771,560
domain_randomization,4,0.602083,0.01721,0.513393,0.016631,0.398512,0.017818,0.442262,0.01693,0.190179,0.015021,0.08244,0.009769,0.071429,0.008953,0.050298,0.007477,0.093452,0.010476,0.109524,0.010673,0.168452,0.012134,0.569345,0.016432,0.35,0.016248,0.314583,0.015817,0.197024,0.014856,0.284226,0.018094,0.60446,0.018067,560
domain_randomization,5,0.580655,0.016221,0.504464,0.017326,0.388095,0.01626,0.441667,0.017116,0.185417,0.014348,0.089583,0.009615,0.070833,0.008755,0.055357,0.008053,0.099405,0.010359,0.112798,0.010485,0.168452,0.012078,0.58125,0.017417,0.341964,0.016259,0.311607,0.016005,0.197917,0.014763,0.298512,0.018245,0.58069,0.016988,560
domain_randomization,6,0.604167,0.016833,0.518452,0.016546,0.404464,0.016851,0.427381,0.01649,0.190179,0.015773,0.089881,0.010624,0.06875,0.00881,0.058036,0.008402,0.09494,0.010235,0.104762,0.010554,0.160417,0.012166,0.581548,0.0173,0.347321,0.016607,0.31369,0.01635,0.20506,0.01515,0.281845,0.018029,0.604823,0.017929,560
domain_randomization,7,0.607738,0.016285,0.507143,0.016106,0.405952,0.017258,0.4375,0.016894,0.184524,0.014556,0.090476,0.010163,0.070833,0.008637,0.058036,0.008238,0.096131,0.010124,0.108036,0.010793,0.16369,0.012789,0.573214,0.016554,0.352976,0.016288,0.315476,0.01577,0.200893,0.015441,0.281548,0.017161,0.609223,0.017219,560
domain_randomization,8,0.58869,0.017295,0.50625,0.017004,0.412202,0.016281,0.430357,0.016557,0.192262,0.015588,0.079762,0.009554,0.07381,0.008896,0.057143,0.008504,0.101786,0.011003,0.117262,0.010997,0.164881,0.012134,0.56756,0.01731,0.345833,0.016357,0.323214,0.015796,0.1875,0.014968,0.302083,0.01853,0.590332,0.018377,560
domain_randomization,9,0.595238,0.017468,0.50506,0.016311,0.402976,0.016984,0.42619,0.016822,0.19375,0.015025,0.094643,0.010069,0.069643,0.008782,0.047321,0.007428,0.103571,0.010793,0.115476,0.011369,0.169643,0.012438,0.563393,0.016719,0.36131,0.016984,0.31875,0.015933,0.202381,0.015093,0.291667,0.018729,0.594097,0.018475,560
ensemble_disagreement_filter,0,0.638095,0.016239,0.427976,0.017393,0.534524,0.017122,0.49256,0.016595,0.13125,0.012491,0.058929,0.007789,0.04881,0.007612,0.037798,0.006764,0.053571,0.007749,0.087798,0.009443,0.199405,0.013572,0.458631,0.016498,0.45506,0.016763,0.568452,0.016694,0.125298,0.01301,0.241964,0.017287,0.681363,0.016495,560
ensemble_disagreement_filter,1,0.63125,0.016798,0.423214,0.017093,0.551786,0.01724,0.485714,0.017378,0.127976,0.012105,0.050298,0.00792,0.043452,0.007053,0.041369,0.006921,0.048214,0.007638,0.08125,0.009663,0.225893,0.014329,0.452381,0.016496,0.451786,0.01636,0.569345,0.016576,0.125,0.012563,0.254167,0.017878,0.676043,0.017138,560
ensemble_disagreement_filter,2,0.643155,0.017299,0.43006,0.017383,0.528571,0.016571,0.490179,0.016771,0.13006,0.013262,0.05744,0.00793,0.052381,0.007977,0.030952,0.005621,0.052083,0.00762,0.084524,0.009769,0.208333,0.013505,0.462798,0.016587,0.474405,0.017229,0.564881,0.017232,0.11994,0.01175,0.232143,0.017705,0.685162,0.017594,560
ensemble_disagreement_filter,3,0.634821,0.015694,0.411905,0.016755,0.554167,0.017091,0.489583,0.016419,0.119048,0.011855,0.05744,0.007973,0.05,0.007737,0.039583,0.006894,0.052679,0.007591,0.08125,0.009081,0.202679,0.013925,0.447024,0.016976,0.465179,0.016038,0.565179,0.017392,0.129464,0.01278,0.2375,0.017328,0.682229,0.015997,560
ensemble_disagreement_filter,4,0.629167,0.016198,0.413393,0.017239,0.545536,0.016772,0.476786,0.016464,0.126488,0.012198,0.06131,0.008625,0.048512,0.007647,0.036607,0.006758,0.057738,0.00798,0.088095,0.0099,0.21131,0.014606,0.460417,0.017036,0.456845,0.017017,0.553571,0.016639,0.122619,0.012507,0.257143,0.017112,0.672354,0.016639,560
ensemble_disagreement_filter,5,0.6375,0.016687,0.428274,0.016568,0.530655,0.017399,0.459226,0.015574,0.133929,0.0125,0.053274,0.00738,0.05506,0.008088,0.037202,0.00653,0.052083,0.0073,0.081548,0.009377,0.208631,0.014224,0.463393,0.017241,0.465179,0.016745,0.559821,0.017269,0.11369,0.011581,0.24881,0.017709,0.678106,0.016963,560
ensemble_disagreement_filter,6,0.64494,0.016005,0.425298,0.016927,0.542857,0.016606,0.471429,0.017256,0.124405,0.011965,0.052679,0.007636,0.058929,0.008005,0.033929,0.006256,0.05744,0.008184,0.077083,0.009217,0.208333,0.013829,0.449107,0.017209,0.455952,0.017071,0.562202,0.017132,0.128571,0.012118,0.242857,0.017231,0.688162,0.016258,560
ensemble_disagreement_filter,7,0.642262,0.016431,0.410417,0.017154,0.551488,0.016592,0.472619,0.015978,0.129762,0.012931,0.053869,0.007624,0.054762,0.00808,0.035417,0.006546,0.045833,0.007284,0.090476,0.010095,0.202381,0.013369,0.459821,0.017127,0.45744,0.016805,0.556548,0.017685,0.13244,0.012349,0.253571,0.017219,0.685057,0.016684,560
ensemble_disagreement_filter,8,0.641369,0.016328,0.414286,0.016533,0.545833,0.017138,0.471131,0.016883,0.127381,0.012176,0.06369,0.008425,0.06131,0.008303,0.039583,0.006894,0.051786,0.007788,0.082738,0.010146,0.210417,0.013797,0.449405,0.017146,0.460714,0.01727,0.56875,0.016838,0.109226,0.011055,0.254762,0.017058,0.682216,0.016666,560
ensemble_disagreement_filter,9,0.635119,0.016759,0.43244,0.016729,0.550298,0.016535,0.483333,0.016926,0.128571,0.012396,0.06131,0.008782,0.053869,0.008551,0.037202,0.006478,0.049702,0.007903,0.085119,0.009521,0.208036,0.013674,0.444643,0.016721,0.442262,0.016125,0.558036,0.016689,0.125595,0.012191,0.259524,0.017322,0.677185,0.016775,560
equivariant_policy,0,0.575,0.017385,0.493155,0.016617,0.336607,0.01574,0.404762,0.016381,0.205655,0.015605,0.095536,0.010428,0.08006,0.00941,0.060417,0.008245,0.10625,0.01113,0.128869,0.012082,0.169643,0.012189,0.570833,0.017737,0.308333,0.016383,0.234524,0.01422,0.229167,0.01613,0.297321,0.019035,0.559516,0.018427,560
equivariant_policy,1,0.59494,0.016773,0.489286,0.017415,0.35625,0.01629,0.410417,0.017074,0.216964,0.015947,0.094643,0.01082,0.077381,0.009069,0.058929,0.00792,0.112202,0.011309,0.121429,0.011272,0.170238,0.012409,0.584226,0.016576,0.320833,0.016147,0.236607,0.014798,0.234524,0.016193,0.286607,0.017872,0.579475,0.017646,560
equivariant_policy,2,0.579464,0.016838,0.506548,0.016893,0.343452,0.015557,0.411607,0.016734,0.207738,0.014931,0.095833,0.010684,0.082738,0.009157,0.051488,0.007558,0.11369,0.011252,0.126488,0.011507,0.172619,0.013381,0.580655,0.016574,0.31369,0.016119,0.249107,0.015601,0.231548,0.016953,0.283333,0.017801,0.565711,0.017702,560
equivariant_policy,3,0.580655,0.016799,0.50744,0.017495,0.35506,0.016238,0.399405,0.017201,0.21994,0.016136,0.095833,0.010393,0.07619,0.008988,0.057143,0.008009,0.105357,0.010895,0.136607,0.011212,0.161607,0.012745,0.580655,0.016137,0.306845,0.015368,0.25,0.014349,0.222024,0.015647,0.283333,0.017725,0.566812,0.01774,560
equivariant_policy,4,0.586607,0.01645,0.508631,0.016997,0.348214,0.015331,0.394345,0.016921,0.221429,0.016301,0.091369,0.010357,0.074107,0.00931,0.063988,0.008266,0.114583,0.011682,0.122619,0.011244,0.153274,0.012266,0.583036,0.016596,0.31875,0.015718,0.23631,0.014375,0.236607,0.017185,0.29494,0.017254,0.570195,0.017771,560
equivariant_policy,5,0.588095,0.017217,0.507738,0.016849,0.330655,0.016378,0.410714,0.017741,0.222321,0.015953,0.088095,0.009866,0.078571,0.009074,0.054167,0.008274,0.11369,0.011639,0.126786,0.010953,0.163988,0.012588,0.563095,0.01706,0.313393,0.015568,0.247321,0.014653,0.234821,0.017155,0.292262,0.017767,0.571878,0.018172,560
equivariant_policy,6,0.568452,0.016957,0.5125,0.016971,0.345833,0.015719,0.408036,0.016765,0.206845,0.014914,0.089286,0.010101,0.075595,0.009429,0.066667,0.009165,0.113095,0.011737,0.126488,0.011625,0.163988,0.012856,0.58244,0.016369,0.309821,0.015708,0.250298,0.01527,0.228274,0.015431,0.3125,0.018786,0.55397,0.018319,560
equivariant_policy,7,0.588988,0.016528,0.504167,0.01649,0.349405,0.01621,0.4,0.016163,0.202976,0.015263,0.093452,0.009873,0.086905,0.0098,0.05506,0.007831,0.110119,0.010947,0.128274,0.01146,0.155952,0.012159,0.571429,0.017272,0.322917,0.015891,0.25119,0.015403,0.238095,0.016994,0.298512,0.017657,0.575802,0.017698,560
equivariant_policy,8,0.579762,0.016737,0.491964,0.017218,0.341964,0.016343,0.408631,0.016868,0.190179,0.015043,0.096429,0.009918,0.083631,0.009735,0.064286,0.008555,0.108333,0.010725,0.121131,0.010816,0.160417,0.012194,0.580357,0.016051,0.325298,0.016282,0.256548,0.015305,0.224702,0.016401,0.309226,0.017722,0.567144,0.017844,560
equivariant_policy,9,0.583631,0.016243,0.502679,0.016273,0.352381,0.016989,0.399107,0.016262,0.20119,0.015314,0.10506,0.010678,0.076488,0.00947,0.052976,0.007279,0.10625,0.011313,0.118452,0.010909,0.161012,0.012527,0.595833,0.015849,0.30625,0.016721,0.250595,0.014816,0.219048,0.015911,0.298512,0.017423,0.570812,0.017495,560
invariant_risk_minimization_proxy,0,0.597619,0.01688,0.477381,0.016695,0.45,0.017551,0.44256,0.016332,0.17381,0.013902,0.075893,0.009321,0.06131,0.00822,0.05119,0.007594,0.089286,0.010033,0.102679,0.010678,0.16756,0.012858,0.533333,0.017018,0.37381,0.015872,0.388095,0.017414,0.193155,0.0151,0.277083,0.018139,0.611774,0.017435,560
invariant_risk_minimization_proxy,1,0.603869,0.017276,0.479762,0.016818,0.44375,0.016402,0.442262,0.017367,0.171131,0.01355,0.076488,0.009288,0.064583,0.008317,0.045536,0.007274,0.084226,0.010112,0.115476,0.011157,0.165774,0.012617,0.536012,0.016789,0.378571,0.016019,0.386012,0.016669,0.183333,0.014936,0.277679,0.01802,0.618231,0.017891,560
invariant_risk_minimization_proxy,2,0.606845,0.017111,0.483333,0.0161,0.434821,0.017016,0.441369,0.016757,0.170833,0.01451,0.077083,0.009651,0.075298,0.009463,0.04375,0.006819,0.08631,0.010177,0.103571,0.010634,0.18631,0.013006,0.52619,0.017243,0.386607,0.016283,0.385714,0.017208,0.191369,0.015188,0.260119,0.017957,0.617711,0.017848,560
invariant_risk_minimization_proxy,3,0.595833,0.01621,0.494345,0.016905,0.452083,0.016787,0.436012,0.017481,0.168155,0.014408,0.079464,0.0093,0.0625,0.008365,0.042262,0.007055,0.085714,0.009872,0.102976,0.011143,0.164583,0.012343,0.518155,0.017106,0.364583,0.016527,0.39375,0.017116,0.183036,0.014273,0.271726,0.017637,0.611187,0.016882,560
invariant_risk_minimization_proxy,4,0.59256,0.017165,0.480952,0.016726,0.4375,0.017391,0.452679,0.016636,0.183333,0.014017,0.085119,0.010378,0.067262,0.00906,0.04375,0.007395,0.087798,0.009622,0.106548,0.010972,0.173512,0.012978,0.533036,0.016811,0.372024,0.016157,0.376488,0.016652,0.189881,0.014737,0.291369,0.018048,0.603769,0.017969,560
invariant_risk_minimization_proxy,5,0.59494,0.017175,0.491667,0.016725,0.447024,0.017684,0.445833,0.016728,0.182738,0.014215,0.084821,0.009414,0.061012,0.00858,0.039881,0.006907,0.085714,0.010732,0.100298,0.010448,0.172917,0.013214,0.548214,0.016234,0.384821,0.016836,0.381845,0.016509,0.177083,0.014711,0.28631,0.018291,0.607353,0.017749,560
invariant_risk_minimization_proxy,6,0.59375,0.01708,0.475,0.0163,0.43244,0.016891,0.45625,0.017166,0.170536,0.014238,0.083333,0.010011,0.066667,0.008824,0.046726,0.007408,0.082143,0.009839,0.09494,0.010334,0.166667,0.012604,0.536012,0.016585,0.380655,0.016179,0.40119,0.016214,0.186607,0.01492,0.291071,0.018221,0.607667,0.017812,560
invariant_risk_minimization_proxy,7,0.591369,0.017522,0.473512,0.017582,0.438988,0.017122,0.445833,0.017269,0.179464,0.014202,0.078274,0.009934,0.072024,0.00892,0.048512,0.00791,0.087202,0.010537,0.098512,0.010564,0.169643,0.012974,0.524107,0.017035,0.383929,0.016079,0.387798,0.017034,0.178571,0.014551,0.298214,0.018821,0.602452,0.018267,560
invariant_risk_minimization_proxy,8,0.605952,0.016959,0.469048,0.016397,0.438095,0.016583,0.466071,0.016501,0.183036,0.013959,0.089583,0.0102,0.063393,0.008541,0.052381,0.007977,0.085714,0.0107,0.104167,0.010626,0.175298,0.013333,0.532738,0.017578,0.363393,0.016889,0.383333,0.017277,0.176488,0.014266,0.285417,0.01858,0.617278,0.017882,560
invariant_risk_minimization_proxy,9,0.61756,0.016331,0.466071,0.01697,0.441369,0.016797,0.445238,0.016897,0.16994,0.014022,0.078571,0.0099,0.061012,0.008089,0.046726,0.007269,0.094048,0.010208,0.09881,0.010166,0.173214,0.011896,0.535714,0.016162,0.373512,0.016079,0.378274,0.016722,0.181845,0.01409,0.270238,0.018163,0.630037,0.017153,560
no_invariance_behavior_clone,0,0.555655,0.016478,0.239583,0.014394,0.503869,0.017268,0.378571,0.016808,0.171726,0.013822,0.091071,0.009956,0.067262,0.009172,0.049405,0.007807,0.080952,0.008929,0.114583,0.01099,0.160714,0.012594,0.26131,0.014833,0.352976,0.015406,0.572619,0.017474,0.139583,0.013188,0.310714,0.018552,0.578012,0.017148,560
no_invariance_behavior_clone,1,0.567857,0.017508,0.23631,0.014819,0.479762,0.01704,0.378274,0.01744,0.16756,0.013454,0.084226,0.009486,0.077083,0.008954,0.052976,0.007509,0.085714,0.009872,0.111905,0.010759,0.176488,0.012726,0.256548,0.014737,0.36131,0.015756,0.552976,0.017036,0.147917,0.013132,0.308333,0.018914,0.585435,0.018209,560
no_invariance_behavior_clone,2,0.551786,0.01682,0.244345,0.014901,0.480357,0.017576,0.399405,0.01641,0.154762,0.013405,0.096131,0.011302,0.076786,0.009179,0.048214,0.007178,0.088988,0.009828,0.104762,0.010903,0.15744,0.012265,0.258929,0.015583,0.356845,0.016052,0.551488,0.016715,0.145238,0.013246,0.308333,0.018696,0.573353,0.018129,560
no_invariance_behavior_clone,3,0.54494,0.017264,0.236905,0.014544,0.48631,0.01742,0.397619,0.017773,0.152381,0.013028,0.088095,0.009935,0.0625,0.008324,0.043155,0.00709,0.089583,0.010099,0.111607,0.010732,0.173214,0.0127,0.24881,0.015202,0.352976,0.016742,0.561012,0.017042,0.147024,0.013942,0.318452,0.018477,0.568936,0.018102,560
no_invariance_behavior_clone,4,0.562798,0.017276,0.246429,0.014417,0.472024,0.016984,0.382143,0.016942,0.167857,0.014229,0.087798,0.009298,0.066667,0.008549,0.05506,0.008378,0.090774,0.010261,0.117262,0.011059,0.156548,0.012134,0.265179,0.016195,0.353571,0.016241,0.554464,0.016506,0.144643,0.01324,0.315179,0.018595,0.581266,0.018079,560
no_invariance_behavior_clone,5,0.552679,0.017251,0.244643,0.013957,0.484821,0.016986,0.376786,0.016698,0.162202,0.013322,0.092857,0.010609,0.077381,0.009218,0.045833,0.007237,0.085119,0.009734,0.112202,0.010942,0.16875,0.013274,0.269048,0.015739,0.362798,0.016048,0.56875,0.01761,0.146131,0.013218,0.325893,0.019434,0.572162,0.018226,560
no_invariance_behavior_clone,6,0.554167,0.017485,0.23631,0.015228,0.478571,0.016604,0.374405,0.016369,0.166071,0.014109,0.093452,0.010212,0.072619,0.00881,0.04494,0.006816,0.085714,0.010245,0.104167,0.010334,0.164881,0.012684,0.251488,0.014537,0.342262,0.015758,0.568155,0.017431,0.138988,0.013334,0.326488,0.018574,0.573129,0.018364,560
no_invariance_behavior_clone,7,0.547619,0.017105,0.254167,0.014534,0.472321,0.016612,0.386012,0.016587,0.161607,0.013699,0.089583,0.009998,0.066667,0.008509,0.047619,0.007346,0.083631,0.009522,0.113095,0.011532,0.171131,0.012366,0.253274,0.015555,0.366369,0.016275,0.559821,0.018079,0.141071,0.012314,0.338988,0.019102,0.567555,0.017892,560
no_invariance_behavior_clone,8,0.545833,0.016155,0.245833,0.014836,0.486905,0.017107,0.396131,0.017077,0.158333,0.013347,0.085714,0.009803,0.075298,0.009354,0.053869,0.007257,0.088393,0.010104,0.114286,0.011511,0.164583,0.012507,0.259821,0.014794,0.363393,0.016273,0.579464,0.017019,0.130357,0.012322,0.341369,0.018162,0.567874,0.017024,560
no_invariance_behavior_clone,9,0.551786,0.016389,0.252381,0.01456,0.484821,0.016824,0.40119,0.015917,0.166667,0.013263,0.088988,0.009897,0.069643,0.008664,0.050595,0.007754,0.082143,0.009734,0.100595,0.010477,0.172619,0.012755,0.257143,0.014549,0.349702,0.015531,0.560417,0.016936,0.147917,0.014011,0.327976,0.0178,0.573225,0.017302,560
oracle_invariance_validity_supervisor,0,0.857143,0.01203,0.700298,0.015516,0.874702,0.011299,0.705952,0.01519,0.013393,0.003756,0.00506,0.00251,0.008631,0.003277,0.002679,0.001924,0.002381,0.00164,0.036607,0.006501,0.207738,0.014254,0.752083,0.015157,0.732738,0.014349,0.827381,0.013832,0.013988,0.004487,0.0,0.0,0.9416,0.00797,560
oracle_invariance_validity_supervisor,1,0.867857,0.01086,0.700595,0.01478,0.862798,0.011582,0.700893,0.01566,0.012798,0.00377,0.005655,0.002501,0.007143,0.002798,0.003274,0.002088,0.001786,0.001422,0.038393,0.006269,0.201488,0.013774,0.747321,0.014884,0.723214,0.015085,0.823512,0.013505,0.016667,0.004685,0.0,0.0,0.950308,0.006806,560
oracle_invariance_validity_supervisor,2,0.849702,0.011465,0.70119,0.015666,0.86131,0.011622,0.716667,0.015421,0.010714,0.004197,0.005952,0.002694,0.011012,0.00353,0.004464,0.002231,0.001786,0.001422,0.034524,0.006178,0.188393,0.012678,0.760417,0.014418,0.721726,0.014975,0.834524,0.013692,0.0125,0.00391,0.0,0.0,0.942189,0.007637,560
oracle_invariance_validity_supervisor,3,0.848214,0.012324,0.676488,0.016338,0.877381,0.010874,0.720536,0.015431,0.013988,0.004089,0.004464,0.002231,0.00625,0.002625,0.00506,0.00251,0.002679,0.001737,0.026786,0.005586,0.182143,0.012966,0.750893,0.014839,0.729167,0.014553,0.833036,0.012563,0.013095,0.004232,0.0,0.0,0.938738,0.008415,560
oracle_invariance_validity_supervisor,4,0.869643,0.011007,0.672917,0.01582,0.86756,0.011842,0.705952,0.016253,0.013988,0.004005,0.004762,0.002302,0.009524,0.003312,0.003571,0.002317,0.00119,0.001164,0.035119,0.006373,0.200298,0.013494,0.74494,0.015039,0.717262,0.015714,0.836012,0.013119,0.013393,0.004185,0.0,0.0,0.953274,0.007052,560
oracle_invariance_validity_supervisor,5,0.865476,0.011839,0.702679,0.016294,0.86756,0.011402,0.703869,0.015525,0.016964,0.004492,0.007143,0.002918,0.008631,0.003277,0.003571,0.002001,0.002083,0.001535,0.025,0.005268,0.197619,0.013726,0.740179,0.014539,0.727381,0.015109,0.831845,0.013377,0.011905,0.003653,0.0,0.0,0.946865,0.007936,560
oracle_invariance_validity_supervisor,6,0.869345,0.011921,0.69494,0.015999,0.864286,0.011629,0.716369,0.015171,0.014583,0.004158,0.006548,0.002808,0.00744,0.00297,0.00506,0.00237,0.001786,0.001422,0.034524,0.006123,0.199702,0.013952,0.752381,0.014513,0.735119,0.014765,0.832143,0.013365,0.01756,0.004842,0.0,0.0,0.948061,0.007779,560
oracle_invariance_validity_supervisor,7,0.876488,0.011313,0.685417,0.015925,0.862798,0.011757,0.709226,0.016143,0.016667,0.004226,0.008036,0.003073,0.008631,0.003277,0.005357,0.002573,0.002679,0.001737,0.030952,0.005974,0.196429,0.013316,0.735417,0.015728,0.721429,0.014903,0.82381,0.013084,0.013095,0.004312,0.0,0.0,0.951772,0.007182,560
oracle_invariance_validity_supervisor,8,0.877083,0.010898,0.671429,0.016426,0.87381,0.011093,0.721131,0.015394,0.014583,0.004075,0.008036,0.003073,0.004762,0.002302,0.002679,0.001737,0.003571,0.002164,0.03006,0.005684,0.196429,0.013594,0.747024,0.01486,0.735119,0.014857,0.835417,0.012777,0.015179,0.004143,0.0,0.0,0.95708,0.006853,560
oracle_invariance_validity_supervisor,9,0.871131,0.011384,0.685417,0.01538,0.868452,0.011218,0.725298,0.015266,0.015476,0.00401,0.007738,0.00324,0.005655,0.002634,0.003869,0.002081,0.002083,0.001535,0.028571,0.005825,0.197321,0.01411,0.746726,0.015223,0.728571,0.015653,0.839881,0.012673,0.0125,0.004245,0.0,0.0,0.952735,0.007362,560
physics_consistency_classifier,0,0.666667,0.016922,0.477679,0.016972,0.630952,0.015993,0.509524,0.01742,0.11369,0.012099,0.050298,0.007657,0.041071,0.006957,0.03125,0.006104,0.055357,0.008053,0.081845,0.009734,0.180357,0.01324,0.484821,0.017264,0.506845,0.017142,0.620238,0.016249,0.10625,0.011252,0.21875,0.017005,0.725631,0.016611,560
physics_consistency_classifier,1,0.66994,0.016501,0.472024,0.016496,0.620238,0.016907,0.521726,0.01753,0.108929,0.011182,0.047024,0.007689,0.050595,0.007531,0.037202,0.006372,0.049107,0.007207,0.089286,0.009722,0.186607,0.013479,0.515179,0.016121,0.509226,0.017391,0.613988,0.016912,0.097024,0.010895,0.219345,0.016587,0.727882,0.016434,560
physics_consistency_classifier,2,0.674405,0.015256,0.458036,0.017491,0.612798,0.016826,0.524107,0.016935,0.107738,0.011139,0.047024,0.007555,0.042857,0.006981,0.026786,0.005766,0.050298,0.007657,0.074405,0.008668,0.184524,0.012997,0.508036,0.016573,0.499107,0.016462,0.622917,0.016498,0.1,0.010835,0.19881,0.015874,0.736603,0.015145,560
physics_consistency_classifier,3,0.676786,0.015269,0.46369,0.017354,0.612798,0.016059,0.534226,0.016569,0.106845,0.010748,0.053869,0.007844,0.04375,0.007208,0.028274,0.005747,0.054167,0.008108,0.090476,0.010163,0.170536,0.012532,0.509226,0.017625,0.517262,0.016555,0.614583,0.017616,0.093155,0.009771,0.200298,0.015799,0.737827,0.015192,560
physics_consistency_classifier,4,0.684226,0.015323,0.477381,0.016716,0.620833,0.016155,0.517857,0.016917,0.106845,0.011631,0.052083,0.00753,0.045833,0.007094,0.038095,0.006676,0.052976,0.007993,0.090476,0.009993,0.177083,0.012829,0.519643,0.017124,0.49494,0.016927,0.613095,0.016266,0.100893,0.010699,0.209226,0.015866,0.742061,0.015328,560
physics_consistency_classifier,5,0.676488,0.016086,0.465774,0.017353,0.611012,0.016395,0.519048,0.016018,0.111905,0.011405,0.057738,0.007937,0.039286,0.007076,0.038988,0.006966,0.052679,0.007725,0.087202,0.009799,0.197619,0.013776,0.511012,0.017637,0.519643,0.016516,0.628571,0.016061,0.09881,0.01091,0.216369,0.016193,0.732229,0.015886,560
physics_consistency_classifier,6,0.686607,0.015699,0.466964,0.017152,0.610417,0.016235,0.513393,0.017016,0.11369,0.011727,0.052381,0.007447,0.045536,0.007227,0.033333,0.005885,0.051488,0.007603,0.080357,0.009154,0.182143,0.013226,0.502976,0.018126,0.516071,0.016686,0.627381,0.016667,0.103869,0.011463,0.213393,0.016545,0.743043,0.01548,560
physics_consistency_classifier,7,0.658631,0.015707,0.473512,0.016605,0.619048,0.016661,0.502679,0.016168,0.108036,0.011961,0.055952,0.007896,0.044048,0.007076,0.034524,0.005953,0.052976,0.0076,0.086012,0.009448,0.174107,0.013158,0.500893,0.017408,0.504762,0.016653,0.631548,0.017213,0.103869,0.01107,0.236607,0.016641,0.717711,0.015689,560
physics_consistency_classifier,8,0.656548,0.015666,0.468155,0.016663,0.608631,0.016832,0.52381,0.017128,0.111905,0.010663,0.048512,0.007235,0.049702,0.007274,0.031845,0.00597,0.048512,0.007647,0.08125,0.009838,0.203571,0.01397,0.50625,0.016619,0.498512,0.017231,0.618452,0.01737,0.100893,0.01092,0.237202,0.016418,0.714814,0.01561,560
physics_consistency_classifier,9,0.660119,0.015852,0.475893,0.017548,0.616369,0.016535,0.522321,0.016169,0.113095,0.011503,0.058631,0.007739,0.043155,0.006795,0.029167,0.005746,0.053274,0.007518,0.079464,0.009039,0.186905,0.013026,0.500298,0.017738,0.50119,0.016617,0.613393,0.01712,0.106845,0.011213,0.234821,0.01661,0.716554,0.015717,560
proposed_physical_invariance_audit_v4,0,0.741964,0.015098,0.558333,0.016237,0.746726,0.014745,0.608929,0.016645,0.064881,0.00876,0.030655,0.006013,0.028869,0.005726,0.017857,0.004506,0.033929,0.006256,0.053571,0.00766,0.184821,0.01285,0.6375,0.016294,0.604762,0.016356,0.725595,0.015381,0.05625,0.008565,0.158333,0.014568,0.824909,0.013764,560
proposed_physical_invariance_audit_v4,1,0.7375,0.015077,0.580952,0.01688,0.731548,0.014921,0.593155,0.016432,0.06369,0.008704,0.026786,0.0054,0.024107,0.004998,0.019048,0.004696,0.025595,0.005439,0.049702,0.00755,0.189583,0.013472,0.617262,0.015998,0.604762,0.01709,0.71875,0.01482,0.057143,0.008584,0.163095,0.014698,0.820894,0.013809,560
proposed_physical_invariance_audit_v4,2,0.738988,0.015376,0.576786,0.016587,0.739286,0.014558,0.604464,0.01679,0.05625,0.008282,0.025298,0.005542,0.029464,0.005882,0.020238,0.004805,0.026488,0.005441,0.058929,0.007876,0.192262,0.013375,0.635417,0.016732,0.622024,0.016178,0.706845,0.016206,0.055357,0.008053,0.154762,0.014645,0.822827,0.013956,560
proposed_physical_invariance_audit_v4,3,0.723512,0.015043,0.571429,0.016853,0.729762,0.01486,0.621131,0.015809,0.0625,0.008802,0.034524,0.006395,0.02381,0.005175,0.021726,0.005005,0.027083,0.005667,0.051786,0.007244,0.188988,0.013146,0.64256,0.016257,0.610119,0.016196,0.705655,0.016226,0.058631,0.008575,0.164286,0.01493,0.809024,0.014112,560
